Coleta	Estacao	Tratamento	Ponto	Ponto	Profundidade	TeorH2O	AT	DP	DS	Ma	Mi	PTotal	RP	P_res	pH	K	Ca	Mg	H_Al	Al	SB	CTC	V	Ca_CTC	Mg_CTC	M_Sat_Al	Est_C	T_Ar	RH	WBT	Ab_Abs
3	Primavera	ILPF	P5	P15	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.6	59.4	22.5	1
3	Primavera	ILPF	P5	P15	0.00-0.10	0.08	920.0	2.6	1.96	0.04	0.23	0.27		32	5.3	0.8	19	18	18	0	37.8	55.8	68	34	32	0	2.50	28.6	58.5	22.0	7
3	Primavera	ILPF	P5	P15	0.10-0.20	0.11	919.0	2.5	1.83	0.05	0.17	0.22		5	5.3	0.6	14	10	16	0	24.6	40.6	61	34	25	0	1.45	0.0	0.0	0.0	8
3	Primavera	ILPF	P5	P15	0.20-0.30	0.07	912.0	2.6	1.95	0.03	0.14	0.17		3	5.3	0.5	14	7	15	0	21.5	36.5	59	38	19	0	1.12	0.0	0.0	0.0	8
4	Verao	ILPF	P1	P16	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.6	42.0	41.8	0
4	Verao	ILPF	P1	P16	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.9	44.4	42.7	0
4	Verao	ILPF	P1	P16	0.00-0.10	0.06	916.0	2.4	1.19	0.04	0.28	0.32		14	4.8	1.5	27	21	31	2	49.5	80.5	61	34	26	4	1.70	30.3	54.5	57.6	35
4	Verao	ILPF	P1	P16	0.10-0.20	0.06	938.0	2.4	1.48	0.05	0.16	0.21		6	4.4	0.7	10	10	34	5	20.7	54.7	38	18	18	19	1.30	0.0	0.0	0.0	1
4	Verao	ILPF	P1	P16	0.20-0.30	0.05	882.0	2.6	1.49	0.05	0.16	0.21		5	4.3	0.6	7	7	34	6	14.6	48.6	30	14	14	29	1.06	0.0	0.0	0.0	0
4	Verao	ILPF	P2	P17	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.9	41.0	42.9	0
